runtime,bytes,model
6.265705124242426,12.225830167272727,seq_length_0
7.515727972222224,12.748335705758146,seq_length_1
11.262376432936511,13.938940677688809,seq_length_2
20.51527123417721,13.897025658707214,seq_length_3
46.29237695824175,12.525731912017584,seq_length_4
47.52237456042779,12.610036263974333,lora_rank_0
45.78114074898149,13.39774341878522,lora_rank_1
46.56452093834243,12.345265213551912,lora_rank_2
46.77994546693842,12.529588681089837,lora_rank_3
47.28655200277779,12.56995367712113,lora_rank_4
45.54746668277468,12.529140724940056,learning_rate_0
46.030386279558016,12.529396412770552,learning_rate_1
45.78117518574074,12.528806352213332,learning_rate_2
46.02142090847145,13.540495572720442,learning_rate_3
43.03036949516767,11.429241100219349,target_modules_0
41.7886923183943,12.156148920819511,target_modules_1
41.5318281917178,14.222089506238035,target_modules_2
41.80727176524387,13.316735002640671,target_modules_3
43.79911371715115,13.704941053618663,target_modules_4
42.064127163535346,11.524743780331331,target_modules_5
44.03741249219652,11.634819709681677,target_modules_6
46.51756042531876,15.658855524348251,target_modules_7
31.098582054852333,13.68764051680671,batch_size_0
25.28926108061226,13.578683727760511,batch_size_1
45.79787156481481,13.463613409659276,batch_size_2
