"Step","codegen-java-LoRa-v7-run-1-per_device_train_batch_size-0-1-wandb - eval/loss","codegen-java-LoRa-v7-run-1-per_device_train_batch_size-0-1-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-per_device_train_batch_size-0-1-wandb - eval/loss__MAX"
"50","1.1817795038223267","1.1817795038223267","1.1817795038223267"
"101","1.1352310180664062","1.1352310180664062","1.1352310180664062"
"152","1.1099939346313477","1.1099939346313477","1.1099939346313477"
"203","1.0937012434005737","1.0937012434005737","1.0937012434005737"
"254","1.077285885810852","1.077285885810852","1.077285885810852"
"305","1.065551519393921","1.065551519393921","1.065551519393921"
"356","1.0567517280578613","1.0567517280578613","1.0567517280578613"
"407","1.0501896142959595","1.0501896142959595","1.0501896142959595"
"458","1.0467860698699951","1.0467860698699951","1.0467860698699951"
"509","1.0399024486541748","1.0399024486541748","1.0399024486541748"
"560","1.0390751361846924","1.0390751361846924","1.0390751361846924"
"611","1.0348269939422607","1.0348269939422607","1.0348269939422607"
"662","1.0320401191711426","1.0320401191711426","1.0320401191711426"
"713","1.029771089553833","1.029771089553833","1.029771089553833"
"764","1.0269172191619873","1.0269172191619873","1.0269172191619873"
"815","1.0275954008102417","1.0275954008102417","1.0275954008102417"
"866","1.0262658596038818","1.0262658596038818","1.0262658596038818"
"917","1.025877594947815","1.025877594947815","1.025877594947815"
"968","1.025680422782898","1.025680422782898","1.025680422782898"
"1019","1.0256378650665283","1.0256378650665283","1.0256378650665283"
