"Step","codegen-java-LoRa-v7-run-1-learning_rate-4-0.005-wandb - eval/loss","codegen-java-LoRa-v7-run-1-learning_rate-4-0.005-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-learning_rate-4-0.005-wandb - eval/loss__MAX"
"50","1.6047842502593994","1.6047842502593994","1.6047842502593994"
"101","7.36729097366333","7.36729097366333","7.36729097366333"
"152","6.091139316558838","6.091139316558838","6.091139316558838"
"203","6.50385856628418","6.50385856628418","6.50385856628418"
"254","5.3499064445495605","5.3499064445495605","5.3499064445495605"
"305","5.403210163116455","5.403210163116455","5.403210163116455"
"356","4.972503662109375","4.972503662109375","4.972503662109375"
"407","5.048605442047119","5.048605442047119","5.048605442047119"
"458","5.328217029571533","5.328217029571533","5.328217029571533"
"509","4.7465500831604","4.7465500831604","4.7465500831604"
"560","4.696674346923828","4.696674346923828","4.696674346923828"
"611","4.629401206970215","4.629401206970215","4.629401206970215"
"662","4.52753210067749","4.52753210067749","4.52753210067749"
"713","4.417395114898682","4.417395114898682","4.417395114898682"
"764","4.825461387634277","4.825461387634277","4.825461387634277"
"815","4.622407913208008","4.622407913208008","4.622407913208008"
"866","4.354082107543945","4.354082107543945","4.354082107543945"
"917","4.27923583984375","4.27923583984375","4.27923583984375"
"968","4.243844032287598","4.243844032287598","4.243844032287598"
"1019","4.234630584716797","4.234630584716797","4.234630584716797"
