"Step","codegen-java-LoRa-v7-run-1-lora_target_modules-0-['qkv_proj']-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_target_modules-0-['qkv_proj']-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_target_modules-0-['qkv_proj']-wandb - eval/loss__MAX"
"50","1.19892418384552","1.19892418384552","1.19892418384552"
"101","1.1544753313064575","1.1544753313064575","1.1544753313064575"
"152","1.1313889026641846","1.1313889026641846","1.1313889026641846"
"203","1.120501160621643","1.120501160621643","1.120501160621643"
"254","1.103074312210083","1.103074312210083","1.103074312210083"
"305","1.0926594734191895","1.0926594734191895","1.0926594734191895"
"356","1.0834388732910156","1.0834388732910156","1.0834388732910156"
"407","1.0807000398635864","1.0807000398635864","1.0807000398635864"
"458","1.0755102634429932","1.0755102634429932","1.0755102634429932"
"509","1.0702955722808838","1.0702955722808838","1.0702955722808838"
"560","1.0666825771331787","1.0666825771331787","1.0666825771331787"
"611","1.0641906261444092","1.0641906261444092","1.0641906261444092"
"662","1.0627906322479248","1.0627906322479248","1.0627906322479248"
"713","1.0607792139053345","1.0607792139053345","1.0607792139053345"
"764","1.0631407499313354","1.0631407499313354","1.0631407499313354"
"815","1.0597642660140991","1.0597642660140991","1.0597642660140991"
"866","1.0598491430282593","1.0598491430282593","1.0598491430282593"
"917","1.0589687824249268","1.0589687824249268","1.0589687824249268"
"968","1.0587234497070312","1.0587234497070312","1.0587234497070312"
"1019","1.0586836338043213","1.0586836338043213","1.0586836338043213"
