"Step","codegen-java-LoRa-v7-run-1-lora_target_modules-1-['qkv_proj', 'out_proj']-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_target_modules-1-['qkv_proj', 'out_proj']-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_target_modules-1-['qkv_proj', 'out_proj']-wandb - eval/loss__MAX"
"50","1.191333532333374","1.191333532333374","1.191333532333374"
"101","1.1440485715866089","1.1440485715866089","1.1440485715866089"
"152","1.1170238256454468","1.1170238256454468","1.1170238256454468"
"203","1.1058266162872314","1.1058266162872314","1.1058266162872314"
"254","1.0897343158721924","1.0897343158721924","1.0897343158721924"
"305","1.0793824195861816","1.0793824195861816","1.0793824195861816"
"356","1.0695843696594238","1.0695843696594238","1.0695843696594238"
"407","1.0661982297897339","1.0661982297897339","1.0661982297897339"
"458","1.0608553886413574","1.0608553886413574","1.0608553886413574"
"509","1.0554003715515137","1.0554003715515137","1.0554003715515137"
"560","1.0514249801635742","1.0514249801635742","1.0514249801635742"
"611","1.0486291646957397","1.0486291646957397","1.0486291646957397"
"662","1.0469619035720825","1.0469619035720825","1.0469619035720825"
"713","1.0449340343475342","1.0449340343475342","1.0449340343475342"
"764","1.0471563339233398","1.0471563339233398","1.0471563339233398"
"815","1.0437332391738892","1.0437332391738892","1.0437332391738892"
"866","1.0436609983444214","1.0436609983444214","1.0436609983444214"
"917","1.0428162813186646","1.0428162813186646","1.0428162813186646"
"968","1.0425430536270142","1.0425430536270142","1.0425430536270142"
"1019","1.04251229763031","1.04251229763031","1.04251229763031"
