"Step","codegen-java-LoRa-v7-run-1-lora_target_modules-2-['qkv_proj', 'lm_head']-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_target_modules-2-['qkv_proj', 'lm_head']-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_target_modules-2-['qkv_proj', 'lm_head']-wandb - eval/loss__MAX"
"50","1.1951491832733154","1.1951491832733154","1.1951491832733154"
"101","1.1437675952911377","1.1437675952911377","1.1437675952911377"
"152","1.1181281805038452","1.1181281805038452","1.1181281805038452"
"203","1.108801245689392","1.108801245689392","1.108801245689392"
"254","1.0929348468780518","1.0929348468780518","1.0929348468780518"
"305","1.0821483135223389","1.0821483135223389","1.0821483135223389"
"356","1.0722354650497437","1.0722354650497437","1.0722354650497437"
"407","1.0683696269989014","1.0683696269989014","1.0683696269989014"
"458","1.0636194944381714","1.0636194944381714","1.0636194944381714"
"509","1.0583635568618774","1.0583635568618774","1.0583635568618774"
"560","1.0545024871826172","1.0545024871826172","1.0545024871826172"
"611","1.0519081354141235","1.0519081354141235","1.0519081354141235"
"662","1.0503900051116943","1.0503900051116943","1.0503900051116943"
"713","1.048316478729248","1.048316478729248","1.048316478729248"
"764","1.0502288341522217","1.0502288341522217","1.0502288341522217"
"815","1.047066569328308","1.047066569328308","1.047066569328308"
"866","1.0471627712249756","1.0471627712249756","1.0471627712249756"
"917","1.0462783575057983","1.0462783575057983","1.0462783575057983"
"968","1.0460081100463867","1.0460081100463867","1.0460081100463867"
"1019","1.0459792613983154","1.0459792613983154","1.0459792613983154"
