"Step","codegen-java-LoRa-v7-run-1-lora_target_modules-3-['qkv_proj', 'out_proj', 'lm_head']-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_target_modules-3-['qkv_proj', 'out_proj', 'lm_head']-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_target_modules-3-['qkv_proj', 'out_proj', 'lm_head']-wandb - eval/loss__MAX"
"50","1.1883749961853027","1.1883749961853027","1.1883749961853027"
"101","1.1345396041870117","1.1345396041870117","1.1345396041870117"
"152","1.1075546741485596","1.1075546741485596","1.1075546741485596"
"203","1.097164273262024","1.097164273262024","1.097164273262024"
"254","1.0815269947052002","1.0815269947052002","1.0815269947052002"
"305","1.0703821182250977","1.0703821182250977","1.0703821182250977"
"356","1.060045838356018","1.060045838356018","1.060045838356018"
"407","1.0559022426605225","1.0559022426605225","1.0559022426605225"
"458","1.0509445667266846","1.0509445667266846","1.0509445667266846"
"509","1.045657753944397","1.045657753944397","1.045657753944397"
"560","1.041667103767395","1.041667103767395","1.041667103767395"
"611","1.0386515855789185","1.0386515855789185","1.0386515855789185"
"662","1.0368354320526123","1.0368354320526123","1.0368354320526123"
"713","1.0348633527755737","1.0348633527755737","1.0348633527755737"
"764","1.036533236503601","1.036533236503601","1.036533236503601"
"815","1.033469796180725","1.033469796180725","1.033469796180725"
"866","1.033356785774231","1.033356785774231","1.033356785774231"
"917","1.0325461626052856","1.0325461626052856","1.0325461626052856"
"968","1.0322861671447754","1.0322861671447754","1.0322861671447754"
"1019","1.032252550125122","1.032252550125122","1.032252550125122"
