"Step","codegen-java-LoRa-v7-run-1-lora_target_modules-4-['qkv_proj', 'fc_in']-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_target_modules-4-['qkv_proj', 'fc_in']-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_target_modules-4-['qkv_proj', 'fc_in']-wandb - eval/loss__MAX"
"50","1.1819627285003662","1.1819627285003662","1.1819627285003662"
"101","1.1215064525604248","1.1215064525604248","1.1215064525604248"
"152","1.0864412784576416","1.0864412784576416","1.0864412784576416"
"203","1.073543906211853","1.073543906211853","1.073543906211853"
"254","1.0567823648452759","1.0567823648452759","1.0567823648452759"
"305","1.0461242198944092","1.0461242198944092","1.0461242198944092"
"356","1.0354362726211548","1.0354362726211548","1.0354362726211548"
"407","1.0316383838653564","1.0316383838653564","1.0316383838653564"
"458","1.026453971862793","1.026453971862793","1.026453971862793"
"509","1.0209763050079346","1.0209763050079346","1.0209763050079346"
"560","1.0161809921264648","1.0161809921264648","1.0161809921264648"
"611","1.0133219957351685","1.0133219957351685","1.0133219957351685"
"662","1.0115809440612793","1.0115809440612793","1.0115809440612793"
"713","1.0090878009796143","1.0090878009796143","1.0090878009796143"
"764","1.0121068954467773","1.0121068954467773","1.0121068954467773"
"815","1.0078637599945068","1.0078637599945068","1.0078637599945068"
"866","1.0078175067901611","1.0078175067901611","1.0078175067901611"
"917","1.006784200668335","1.006784200668335","1.006784200668335"
"968","1.0065069198608398","1.0065069198608398","1.0065069198608398"
"1019","1.0064367055892944","1.0064367055892944","1.0064367055892944"
