"Step","codegen-java-LoRa-v7-run-1-lora_target_modules-5-['qkv_proj', 'fc_out']-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_target_modules-5-['qkv_proj', 'fc_out']-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_target_modules-5-['qkv_proj', 'fc_out']-wandb - eval/loss__MAX"
"50","1.1824966669082642","1.1824966669082642","1.1824966669082642"
"101","1.1357660293579102","1.1357660293579102","1.1357660293579102"
"152","1.1122627258300781","1.1122627258300781","1.1122627258300781"
"203","1.1033391952514648","1.1033391952514648","1.1033391952514648"
"254","1.086076021194458","1.086076021194458","1.086076021194458"
"305","1.0746901035308838","1.0746901035308838","1.0746901035308838"
"356","1.0645157098770142","1.0645157098770142","1.0645157098770142"
"407","1.0604103803634644","1.0604103803634644","1.0604103803634644"
"458","1.0550470352172852","1.0550470352172852","1.0550470352172852"
"509","1.0492711067199707","1.0492711067199707","1.0492711067199707"
"560","1.044946312904358","1.044946312904358","1.044946312904358"
"611","1.0419481992721558","1.0419481992721558","1.0419481992721558"
"662","1.0402495861053467","1.0402495861053467","1.0402495861053467"
"713","1.0378679037094116","1.0378679037094116","1.0378679037094116"
"764","1.0399750471115112","1.0399750471115112","1.0399750471115112"
"815","1.0364525318145752","1.0364525318145752","1.0364525318145752"
"866","1.0364588499069214","1.0364588499069214","1.0364588499069214"
"917","1.0355664491653442","1.0355664491653442","1.0355664491653442"
"968","1.0352814197540283","1.0352814197540283","1.0352814197540283"
"1019","1.0352543592453003","1.0352543592453003","1.0352543592453003"
