"Step","seq_512_rank_16_module_7_bs_16_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_7_bs_16_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_7_bs_16_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_7_bs_8_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_7_bs_8_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_7_bs_8_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_7_bs_2_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_7_bs_2_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_7_bs_2_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_7_bs_1_gradacc_1_tokens_512000_LoRa - eval/loss","seq_512_rank_16_module_7_bs_1_gradacc_1_tokens_512000_LoRa - eval/loss__MIN","seq_512_rank_16_module_7_bs_1_gradacc_1_tokens_512000_LoRa - eval/loss__MAX"
"6","1.3126331567764282","1.3126331567764282","1.3126331567764282","","","","","","","","","","","",""
"12","","","","1.3038129806518555","1.3038129806518555","1.3038129806518555","","","","","","","","",""
"13","1.2971137762069702","1.2971137762069702","1.2971137762069702","","","","","","","","","","","",""
"20","1.2837398052215576","1.2837398052215576","1.2837398052215576","","","","","","","","","","","",""
"24","","","","","","","1.2899525165557861","1.2899525165557861","1.2899525165557861","","","","","",""
"25","","","","1.280260682106018","1.280260682106018","1.280260682106018","","","","","","","","",""
"27","1.274016261100769","1.274016261100769","1.274016261100769","","","","","","","","","","","",""
"34","1.2668695449829102","1.2668695449829102","1.2668695449829102","","","","","","","","","","","",""
"38","","","","1.2667728662490845","1.2667728662490845","1.2667728662490845","","","","","","","","",""
"41","1.2611944675445557","1.2611944675445557","1.2611944675445557","","","","","","","","","","","",""
"48","1.255685567855835","1.255685567855835","1.255685567855835","","","","","","","1.2761790752410889","1.2761790752410889","1.2761790752410889","","",""
"49","","","","","","","1.2653824090957642","1.2653824090957642","1.2653824090957642","","","","","",""
"50","","","","","","","","","","","","","1.2897160053253174","1.2897160053253174","1.2897160053253174"
"51","","","","1.2561935186386108","1.2561935186386108","1.2561935186386108","","","","","","","","",""
"55","1.2514715194702148","1.2514715194702148","1.2514715194702148","","","","","","","","","","","",""
"62","1.2475652694702148","1.2475652694702148","1.2475652694702148","","","","","","","","","","","",""
"64","","","","1.2466448545455933","1.2466448545455933","1.2466448545455933","","","","","","","","",""
"69","1.2440286874771118","1.2440286874771118","1.2440286874771118","","","","","","","","","","","",""
"74","","","","","","","1.2500029802322388","1.2500029802322388","1.2500029802322388","","","","","",""
"76","1.2407453060150146","1.2407453060150146","1.2407453060150146","","","","","","","","","","","",""
"77","","","","1.2406902313232422","1.2406902313232422","1.2406902313232422","","","","","","","","",""
"83","1.2375739812850952","1.2375739812850952","1.2375739812850952","","","","","","","","","","","",""
"90","1.2348206043243408","1.2348206043243408","1.2348206043243408","1.2341830730438232","1.2341830730438232","1.2341830730438232","","","","","","","","",""
"97","1.2325129508972168","1.2325129508972168","1.2325129508972168","","","","","","","1.2514588832855225","1.2514588832855225","1.2514588832855225","","",""
"99","","","","","","","1.2367396354675293","1.2367396354675293","1.2367396354675293","","","","","",""
"101","","","","","","","","","","","","","1.2647758722305298","1.2647758722305298","1.2647758722305298"
"103","","","","1.2305450439453125","1.2305450439453125","1.2305450439453125","","","","","","","","",""
"104","1.2304987907409668","1.2304987907409668","1.2304987907409668","","","","","","","","","","","",""
"111","1.2288641929626465","1.2288641929626465","1.2288641929626465","","","","","","","","","","","",""
"116","","","","1.2259751558303833","1.2259751558303833","1.2259751558303833","","","","","","","","",""
"118","1.227729082107544","1.227729082107544","1.227729082107544","","","","","","","","","","","",""
"124","","","","","","","1.2275221347808838","1.2275221347808838","1.2275221347808838","","","","","",""
"125","1.2269748449325562","1.2269748449325562","1.2269748449325562","","","","","","","","","","","",""
"129","","","","1.221818208694458","1.221818208694458","1.221818208694458","","","","","","","","",""
"132","1.2265065908432007","1.2265065908432007","1.2265065908432007","","","","","","","","","","","",""
"139","1.226261019706726","1.226261019706726","1.226261019706726","","","","","","","","","","","",""
"142","","","","1.2174110412597656","1.2174110412597656","1.2174110412597656","","","","","","","","",""
"146","","","","","","","","","","1.2350417375564575","1.2350417375564575","1.2350417375564575","","",""
"149","","","","","","","1.2225167751312256","1.2225167751312256","1.2225167751312256","","","","","",""
"152","","","","","","","","","","","","","1.2504303455352783","1.2504303455352783","1.2504303455352783"
"155","","","","1.2137967348098755","1.2137967348098755","1.2137967348098755","","","","","","","","",""
"168","","","","1.210423469543457","1.210423469543457","1.210423469543457","","","","","","","","",""
"174","","","","","","","1.213971734046936","1.213971734046936","1.213971734046936","","","","","",""
"181","","","","1.2076090574264526","1.2076090574264526","1.2076090574264526","","","","","","","","",""
"194","","","","1.204999566078186","1.204999566078186","1.204999566078186","","","","","","","","",""
"195","","","","","","","","","","1.220809817314148","1.220809817314148","1.220809817314148","","",""
"199","","","","","","","1.2104781866073608","1.2104781866073608","1.2104781866073608","","","","","",""
"203","","","","","","","","","","","","","1.2408968210220337","1.2408968210220337","1.2408968210220337"
"207","","","","1.2030121088027954","1.2030121088027954","1.2030121088027954","","","","","","","","",""
"220","","","","1.2018344402313232","1.2018344402313232","1.2018344402313232","","","","","","","","",""
"224","","","","","","","1.204300045967102","1.204300045967102","1.204300045967102","","","","","",""
"233","","","","1.2009327411651611","1.2009327411651611","1.2009327411651611","","","","","","","","",""
"244","","","","","","","","","","1.2128632068634033","1.2128632068634033","1.2128632068634033","","",""
"246","","","","1.2003471851348877","1.2003471851348877","1.2003471851348877","","","","","","","","",""
"249","","","","","","","1.2000669240951538","1.2000669240951538","1.2000669240951538","","","","","",""
"254","","","","","","","","","","","","","1.2306843996047974","1.2306843996047974","1.2306843996047974"
"259","","","","1.200010895729065","1.200010895729065","1.200010895729065","","","","","","","","",""
"274","","","","","","","1.1953864097595215","1.1953864097595215","1.1953864097595215","","","","","",""
"293","","","","","","","","","","1.2070575952529907","1.2070575952529907","1.2070575952529907","","",""
"299","","","","","","","1.1917450428009033","1.1917450428009033","1.1917450428009033","","","","","",""
"305","","","","","","","","","","","","","1.2224957942962646","1.2224957942962646","1.2224957942962646"
"324","","","","","","","1.1879056692123413","1.1879056692123413","1.1879056692123413","","","","","",""
"342","","","","","","","","","","1.1987537145614624","1.1987537145614624","1.1987537145614624","","",""
"349","","","","","","","1.1856025457382202","1.1856025457382202","1.1856025457382202","","","","","",""
"356","","","","","","","","","","","","","1.2153959274291992","1.2153959274291992","1.2153959274291992"
"374","","","","","","","1.1828653812408447","1.1828653812408447","1.1828653812408447","","","","","",""
"391","","","","","","","","","","1.195198893547058","1.195198893547058","1.195198893547058","","",""
"399","","","","","","","1.180779218673706","1.180779218673706","1.180779218673706","","","","","",""
"407","","","","","","","","","","","","","1.2074248790740967","1.2074248790740967","1.2074248790740967"
"424","","","","","","","1.179749846458435","1.179749846458435","1.179749846458435","","","","","",""
"440","","","","","","","","","","1.1881191730499268","1.1881191730499268","1.1881191730499268","","",""
"449","","","","","","","1.1787922382354736","1.1787922382354736","1.1787922382354736","","","","","",""
"458","","","","","","","","","","","","","1.2032185792922974","1.2032185792922974","1.2032185792922974"
"474","","","","","","","1.1782395839691162","1.1782395839691162","1.1782395839691162","","","","","",""
"489","","","","","","","","","","1.1830805540084839","1.1830805540084839","1.1830805540084839","","",""
"499","","","","","","","1.1778448820114136","1.1778448820114136","1.1778448820114136","","","","","",""
"509","","","","","","","","","","","","","1.1998084783554077","1.1998084783554077","1.1998084783554077"
"538","","","","","","","","","","1.1783257722854614","1.1783257722854614","1.1783257722854614","","",""
"560","","","","","","","","","","","","","1.1995326280593872","1.1995326280593872","1.1995326280593872"
"587","","","","","","","","","","1.174004077911377","1.174004077911377","1.174004077911377","","",""
"611","","","","","","","","","","","","","1.1935577392578125","1.1935577392578125","1.1935577392578125"
"636","","","","","","","","","","1.1709051132202148","1.1709051132202148","1.1709051132202148","","",""
"662","","","","","","","","","","","","","1.1905924081802368","1.1905924081802368","1.1905924081802368"
"685","","","","","","","","","","1.1690733432769775","1.1690733432769775","1.1690733432769775","","",""
"713","","","","","","","","","","","","","1.1899186372756958","1.1899186372756958","1.1899186372756958"
"734","","","","","","","","","","1.1656121015548706","1.1656121015548706","1.1656121015548706","","",""
"764","","","","","","","","","","","","","1.1892075538635254","1.1892075538635254","1.1892075538635254"
"783","","","","","","","","","","1.163053274154663","1.163053274154663","1.163053274154663","","",""
"815","","","","","","","","","","","","","1.1856694221496582","1.1856694221496582","1.1856694221496582"
"832","","","","","","","","","","1.1618096828460693","1.1618096828460693","1.1618096828460693","","",""
"866","","","","","","","","","","","","","1.1839030981063843","1.1839030981063843","1.1839030981063843"
"881","","","","","","","","","","1.1612112522125244","1.1612112522125244","1.1612112522125244","","",""
"917","","","","","","","","","","","","","1.1833707094192505","1.1833707094192505","1.1833707094192505"
"930","","","","","","","","","","1.1605545282363892","1.1605545282363892","1.1605545282363892","","",""
"968","","","","","","","","","","","","","1.182315707206726","1.182315707206726","1.182315707206726"
"979","","","","","","","","","","1.1600075960159302","1.1600075960159302","1.1600075960159302","","",""
"1019","","","","","","","","","","","","","1.182043194770813","1.182043194770813","1.182043194770813"
