"Step","seq_512_rank_128_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_128_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_128_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_64_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_64_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_64_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_32_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_32_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_32_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_8_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_8_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_8_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX"
"24","1.2597668170928955","1.2597668170928955","1.2597668170928955","1.270196557044983","1.270196557044983","1.270196557044983","1.2799432277679443","1.2799432277679443","1.2799432277679443","1.2895561456680298","1.2895561456680298","1.2895561456680298","1.299738883972168","1.299738883972168","1.299738883972168"
"49","1.2226942777633667","1.2226942777633667","1.2226942777633667","1.2386558055877686","1.2386558055877686","1.2386558055877686","1.253501296043396","1.253501296043396","1.253501296043396","1.264932632446289","1.264932632446289","1.264932632446289","1.2747607231140137","1.2747607231140137","1.2747607231140137"
"74","1.1997476816177368","1.1997476816177368","1.1997476816177368","1.218716025352478","1.218716025352478","1.218716025352478","1.2354273796081543","1.2354273796081543","1.2354273796081543","1.249428153038025","1.249428153038025","1.249428153038025","1.2617849111557007","1.2617849111557007","1.2617849111557007"
"99","1.1845850944519043","1.1845850944519043","1.1845850944519043","1.2032958269119263","1.2032958269119263","1.2032958269119263","1.2214452028274536","1.2214452028274536","1.2214452028274536","1.2361031770706177","1.2361031770706177","1.2361031770706177","1.2497199773788452","1.2497199773788452","1.2497199773788452"
"124","1.1767611503601074","1.1767611503601074","1.1767611503601074","1.1942387819290161","1.1942387819290161","1.1942387819290161","1.2113553285598755","1.2113553285598755","1.2113553285598755","1.2268890142440796","1.2268890142440796","1.2268890142440796","1.2409261465072632","1.2409261465072632","1.2409261465072632"
"149","1.1701092720031738","1.1701092720031738","1.1701092720031738","1.1888996362686157","1.1888996362686157","1.1888996362686157","1.2059067487716675","1.2059067487716675","1.2059067487716675","1.2218122482299805","1.2218122482299805","1.2218122482299805","1.235935091972351","1.235935091972351","1.235935091972351"
"174","1.1611328125","1.1611328125","1.1611328125","1.1803184747695923","1.1803184747695923","1.1803184747695923","1.1973822116851807","1.1973822116851807","1.1973822116851807","1.2132766246795654","1.2132766246795654","1.2132766246795654","1.2283656597137451","1.2283656597137451","1.2283656597137451"
"199","1.1575877666473389","1.1575877666473389","1.1575877666473389","1.1768426895141602","1.1768426895141602","1.1768426895141602","1.1940196752548218","1.1940196752548218","1.1940196752548218","1.2099295854568481","1.2099295854568481","1.2099295854568481","1.225206732749939","1.225206732749939","1.225206732749939"
"224","1.151099443435669","1.151099443435669","1.151099443435669","1.1705900430679321","1.1705900430679321","1.1705900430679321","1.187861442565918","1.187861442565918","1.187861442565918","1.2038555145263672","1.2038555145263672","1.2038555145263672","1.2194862365722656","1.2194862365722656","1.2194862365722656"
"249","1.1458264589309692","1.1458264589309692","1.1458264589309692","1.1659249067306519","1.1659249067306519","1.1659249067306519","1.183437466621399","1.183437466621399","1.183437466621399","1.199601173400879","1.199601173400879","1.199601173400879","1.2152427434921265","1.2152427434921265","1.2152427434921265"
